dart_method	dart_line	ssg_method	ssg_line	status	notes
serialize (top-level fn)	46	SerializeVisitor.serialize	146	PORTED	Faithful: charset prefix, BOM for compressed, source map wiring
serializeValue (top-level fn)	91	SerializeVisitor.serializeValue (companion)	1311	PORTED	Faithful: inspect + quote params mapped
serializeSelector (top-level fn)	107	(none)	-	MISSING	No standalone selector serialization entry point; selectors are formatted inline via formatSelectorList
_SerializeVisitor constructor	153	SerializeVisitor constructor	42	SIMPLIFIED	Missing: useSpaces, indentWidth, lineFeed, logger params; always 2-space indent, LF only
visitCssStylesheet	173	visitCssStylesheet	898	PORTED	Faithful port of sibling spacing, semicolon, trailing comment, isGroupEnd logic
visitCssComment	196	visitCssComment	1235	SIMPLIFIED	Missing: minimumIndentation re-indenting of multi-line comments; missing sourceMappingURL/sourceURL filtering; missing _for(node) source-map span association
visitCssAtRule	220	visitCssAtRule	1241	SIMPLIFIED	Missing: _for(node) source-map span wrapping; works but no span association for source maps
visitCssMediaRule	239	visitCssMediaRule	1258	SIMPLIFIED	Missing: per-query _visitMediaQuery rendering; uses mkString instead; missing compressed-mode space optimization for "(not " conditions
visitCssImport	261	visitCssImport	1272	SIMPLIFIED	Missing: _writeImportUrl compressed-mode url() stripping; missing _for() span tracking
_writeImportUrl	277	(none)	-	MISSING	Compressed-mode import URL optimization (strips url() wrapper, adds quotes if needed)
visitCssKeyframeBlock	296	visitCssKeyframeBlock	1283	PORTED	Faithful
_visitMediaQuery	307	(none)	-	MISSING	Full media query rendering with modifier/type/conditions/conjunction/negation logic
visitCssStyleRule	332	visitCssStyleRule	938	PORTED	Faithful: selector accept + children
visitCssSupportsRule	340	visitCssSupportsRule	1265	SIMPLIFIED	Missing: compressed-mode space suppression when condition starts with '('
visitCssDeclaration	357	visitCssDeclaration	1034	PORTED	Faithful: parsedAsSassScript branching, custom property handling, !important
_writeFoldedValue	403	writeFoldedCustomPropertyValue	1091	PORTED	Faithful port of newline folding for custom properties
_writeReindentedValue	420	writeReindentedCustomPropertyValue	1111	PORTED	Faithful port with minimumIndentation + writeWithIndent
_minimumIndentation	442	minimumIndentation	1132	PORTED	Faithful port
_writeWithIndent	466	writeWithIndent	1179	PORTED	Faithful port
visitBoolean	518	(none)	-	MISSING	SassBoolean value visitor; no SassBoolean type in SSG yet
visitCalculation	520	(none)	-	MISSING	SassCalculation visitor: writes calc(), min(), max(), clamp() etc. with full argument serialization
